2025-10-27T00:31:58.000000000Z [inf]  Starting Container
2025-10-27T00:31:58.395196685Z [inf]  ======================================
2025-10-27T00:31:58.395204554Z [inf]  🚂 RAILWAY STARTUP SCRIPT
2025-10-27T00:31:58.395211411Z [inf]  ======================================
2025-10-27T00:31:58.395218406Z [inf]  Time: Mon Oct 27 00:31:58 UTC 2025
2025-10-27T00:31:58.395225788Z [inf]  
2025-10-27T00:31:58.395236237Z [inf]  🔄 Running database migrations with drizzle-kit...
2025-10-27T00:32:01.410818486Z [inf]  No config path provided, using default 'drizzle.config.ts'
2025-10-27T00:32:01.410824147Z [inf]  Reading config file '/app/drizzle.config.ts'
2025-10-27T00:32:01.666949378Z [inf]  Using 'pg' driver for database querying
2025-10-27T00:32:01.778436689Z [inf]  [⣷] Pulling schema from database...
2025-10-27T00:32:01.917111601Z [inf]  [2K[1G[⣯] Pulling schema from database...
2025-10-27T00:32:02.028767906Z [inf]  [2K[1G[⣟] Pulling schema from database...
2025-10-27T00:32:02.173511275Z [inf]  [2K[1G[⡿] Pulling schema from database...
2025-10-27T00:32:02.286040872Z [inf]  [2K[1G[⢿] Pulling schema from database...
2025-10-27T00:32:02.410133132Z [inf]  [2K[1G[⣻] Pulling schema from database...
2025-10-27T00:32:02.549341980Z [inf]  [2K[1G[⣽] Pulling schema from database...
2025-10-27T00:32:02.667020882Z [inf]  [2K[1G[⣷] Pulling schema from database...
2025-10-27T00:32:02.807200512Z [inf]  [2K[1G[⣯] Pulling schema from database...
2025-10-27T00:32:02.945984952Z [inf]  [2K[1G[⣟] Pulling schema from database...
2025-10-27T00:32:03.085834017Z [inf]  [2K[1G[⡿] Pulling schema from database...
2025-10-27T00:32:03.177610372Z [inf]  [2K[1G[⢿] Pulling schema from database...
2025-10-27T00:32:03.421492906Z [inf]  [2K[1G[⣻] Pulling schema from database...
2025-10-27T00:32:03.442172630Z [inf]  [2K[1G[⣽] Pulling schema from database...
2025-10-27T00:32:03.580697575Z [inf]  [2K[1G[⣷] Pulling schema from database...
2025-10-27T00:32:03.740261555Z [inf]  [2K[1G[⣯] Pulling schema from database...
2025-10-27T00:32:03.878788505Z [inf]  [2K[1G[⣟] Pulling schema from database...
2025-10-27T00:32:04.039794234Z [inf]  [2K[1G[⡿] Pulling schema from database...
2025-10-27T00:32:04.078660029Z [inf]  [2K[1G[⢿] Pulling schema from database...
2025-10-27T00:32:04.217422795Z [inf]  [2K[1G[✓] Pulling schema from database...
2025-10-27T00:32:04.261268860Z [inf]  [i] No changes detected
2025-10-27T00:32:04.285999043Z [inf]  
2025-10-27T00:32:04.286003279Z [inf]  ✅ Database migrations completed successfully!
2025-10-27T00:32:04.286007876Z [inf]  
2025-10-27T00:32:04.286012663Z [inf]  🚀 Starting Node.js application...
2025-10-27T00:32:05.175787934Z [inf]  [PERFORMANCE] Compression middleware enabled - responses will be 70-80% smaller
2025-10-27T00:32:05.175800580Z [inf]  [db] ✅ Added sslmode=no-verify to connection string for production
2025-10-27T00:32:05.175800634Z [inf]  📡 WebSocket server initialized at /ws
2025-10-27T00:32:05.175812385Z [inf]  [PLATFORM-HEALING] Session manager connected to WebSocket
2025-10-27T00:32:05.175814911Z [inf]  [db] Environment: NODE_ENV=production, PORT=8080
2025-10-27T00:32:05.175823145Z [inf]  [PLATFORM-METRICS] Starting WebSocket broadcaster (5s intervals)
2025-10-27T00:32:05.175825920Z [inf]  [db] Using DATABASE_URL: postgresql://***@postgres.railway.internal:5432/railway
2025-10-27T00:32:05.175834915Z [inf]  [db] Pool config: connectionTimeoutMillis=30000, max=20, ssl=enabled (rejectUnauthorized: false)
2025-10-27T00:32:05.175844300Z [inf]  [db] SSL Configuration: {"rejectUnauthorized":false}
2025-10-27T00:32:05.175853504Z [inf]  [db] Connection string includes SSL params: true
2025-10-27T00:32:05.175862377Z [inf]  [PERFORMANCE] System prompt base cached (21338 chars) - saves ~4KB per request
2025-10-27T00:32:05.175870917Z [inf]  [PLATFORM-HEALING] PROJECT_ROOT: /app
2025-10-27T00:32:05.222240326Z [inf]  ✅ All routes registered successfully
2025-10-27T00:32:05.222248215Z [inf]  🔍 Testing database connection...
2025-10-27T00:32:05.476905488Z [inf]     - Branch: main
2025-10-27T00:32:05.476907235Z [inf]  🌐 Server accessible at http://0.0.0.0:8080
2025-10-27T00:32:05.476914885Z [inf]  ✅ Database connected successfully
2025-10-27T00:32:05.476919147Z [inf]     - Token: ✓ (configured)
2025-10-27T00:32:05.476920932Z [inf]  🔧 Auto-healing system ENABLED (production mode)
2025-10-27T00:32:05.476926157Z [inf]  
2025-10-27T00:32:05.476930530Z [inf]     - Owner User ID: Not set (owner must be manually marked in database)
2025-10-27T00:32:05.476932447Z [inf]  🔍 Checking GitHub integration configuration...
2025-10-27T00:32:05.476938416Z [inf]  ✅ GitHub integration configured successfully
2025-10-27T00:32:05.476940506Z [inf]     - Maintenance mode: Available for owner
2025-10-27T00:32:05.476945057Z [inf]     - Repository: 6-7Development/archetype
2025-10-27T00:32:05.476950214Z [inf]  
2025-10-27T00:32:05.477007455Z [inf]  12:32:05 AM [express] serving on port 8080
2025-10-27T00:32:25.423147368Z [inf]  12:32:23 AM [express] GET /api/deployment-info 200 in 9ms :: {"version":"1.0.0","commitHash":"unknown…
2025-10-27T00:32:25.423148373Z [err]    syscall: 'spawn git',
2025-10-27T00:32:25.423156632Z [err]    path: 'git',
2025-10-27T00:32:25.423162941Z [err]  Failed to get git info, using defaults: Error: spawn git ENOENT
2025-10-27T00:32:25.423167938Z [err]    spawnargs: [ 'rev-parse', 'HEAD' ],
2025-10-27T00:32:25.423172025Z [err]      at ChildProcess._handle.onexit (node:internal/child_process:285:19)
2025-10-27T00:32:25.423176937Z [err]    cmd: 'git rev-parse HEAD',
